Время	ТМИ
442.916	61.849064
442.925	62.815487
442.935	62.574066
442.946	62.090855
442.955	62.574066
442.965	62.574066
442.976	62.332523
442.985	62.815487
442.995	62.574066
443.006	62.574066
443.015	62.090855
443.025	62.574066
443.036	62.332523
443.046	62.815487
443.055	62.574066
443.066	61.607147
443.076	62.574066
443.085	62.090855
443.096	61.849064
443.106	62.815487
443.115	62.574066
443.126	62.332523
443.136	62.090855
443.145	62.574066
443.155	61.849064
443.166	62.815487
443.175	61.607147
443.185	62.815487
443.196	61.607147
443.205	62.574066
443.215	62.332523
443.226	62.815487
443.235	61.607147
443.245	62.815487
443.256	62.574066
443.265	62.574066
443.275	62.815487
443.286	62.815487
443.296	61.607147
443.305	62.574066
443.316	62.090855
443.326	62.090855
443.335	62.815487
443.346	62.815487
443.356	62.574066
443.365	62.574066
443.376	62.574066
443.386	61.607147
443.395	62.815487
443.405	62.815487
443.416	62.574066
443.425	61.607147
443.435	62.574066
443.446	61.607147
443.455	62.332523
443.465	62.815487
443.476	62.090855
443.485	61.607147
443.495	62.090855
443.506	62.090855
443.515	62.332523
443.525	61.849064
443.536	61.607147
443.546	61.607147
443.555	61.607147
443.566	61.607147
443.576	61.849064
443.585	61.849064
443.596	61.607147
443.606	61.849064
443.615	61.607147
443.626	61.607147
443.636	61.849064
443.645	61.849064
443.655	61.607147
443.666	61.849064
443.675	61.607147
443.685	61.607147
443.696	61.849064
443.705	61.849064
443.715	62.332523
443.726	61.849064
443.735	61.607147
443.745	61.607147
443.756	62.815487
443.765	61.849064
443.775	62.815487
443.786	61.607147
443.796	62.090855
443.805	61.607147
443.816	61.849064
443.826	61.849064
443.835	61.849064
443.846	61.607147
443.856	61.607147
443.865	61.607147
443.876	61.849064
443.886	61.849064
443.895	61.849064
443.905	61.607147
443.916	61.607147
443.925	62.090855
443.935	61.849064
443.946	62.332523
443.955	61.849064
443.965	62.574066
443.976	61.607147
443.985	61.607147
443.995	61.849064
444.006	62.815487
444.015	61.849064
444.025	62.574066
444.036	62.574066
444.046	62.574066
444.055	61.849064
444.066	62.815487
444.076	62.815487
444.085	61.849064
444.096	62.574066
444.106	62.090855
444.115	61.849064
444.126	62.815487
444.136	61.849064
444.145	62.815487
444.155	61.607147
444.166	62.574066
444.175	61.849064
444.185	62.332523
444.196	61.849064
444.205	62.815487
444.215	62.574066
444.226	61.607147
444.235	62.815487
444.245	62.815487
444.256	62.332523
444.265	62.574066
444.275	62.574066
444.286	61.607147
444.296	62.815487
444.305	62.815487
444.316	62.815487
444.326	62.574066
444.335	62.574066
444.346	62.574066
444.356	62.815487
444.365	62.815487
444.376	62.815487
444.386	62.574066
444.395	62.574066
444.405	62.574066
444.416	62.815487
444.425	62.815487
444.435	62.815487
444.446	62.574066
444.455	62.574066
444.465	62.574066
444.476	62.815487
444.485	62.815487
444.495	62.815487
444.506	62.574066
444.515	62.574066
444.525	62.574066
444.536	62.332523
444.546	62.815487
444.555	62.815487
444.566	62.815487
444.576	62.332523
444.585	62.574066
444.596	62.815487
444.606	62.815487
444.615	62.815487
444.626	62.815487
444.636	62.574066
444.645	62.574066
444.655	62.815487
444.666	62.815487
444.675	61.849064
444.685	62.815487
444.696	62.574066
444.705	62.574066
444.715	62.815487
444.726	62.815487
444.735	62.815487
444.745	62.574066
444.756	62.574066
444.765	62.574066
444.775	62.815487
444.786	62.815487
444.796	62.815487
444.805	62.574066
444.816	62.574066
444.826	62.574066
444.835	62.815487
444.846	62.815487
444.856	62.815487
444.865	63.539043
444.876	62.574066
444.886	62.574066
444.895	62.815487
444.905	62.815487
444.916	62.815487
444.925	62.574066
444.935	62.574066
444.946	62.574066
444.955	62.815487
444.965	62.815487
444.976	62.815487
444.985	62.574066
444.995	62.574066
445.006	62.574066
445.015	62.815487
445.025	62.815487
445.036	62.815487
445.046	62.574066
445.055	62.815487
445.066	62.574066
445.076	62.815487
445.085	62.815487
445.096	62.815487
445.106	62.815487
445.115	62.815487
445.126	62.090855
445.136	62.815487
445.145	62.815487
445.155	62.815487
445.166	62.815487
445.175	62.574066
445.185	62.574066
445.196	62.815487
445.205	62.815487
445.215	62.815487
445.226	62.815487
445.235	62.574066
445.245	62.574066
445.256	62.815487
445.265	62.815487
445.275	62.815487
445.286	62.090855
445.296	62.574066
445.305	62.574066
445.316	62.815487
445.326	62.815487
445.335	62.332523
445.346	62.574066
445.356	62.090855
445.365	62.574066
445.376	62.815487
445.386	62.815487
445.395	62.815487
445.405	62.574066
445.416	62.815487
445.425	62.574066
445.435	62.815487
445.446	62.815487
445.455	62.815487
445.465	62.574066
445.476	62.574066
445.485	62.574066
445.495	62.815487
445.506	62.815487
445.515	62.815487
445.525	62.090855
445.536	62.574066
445.546	62.090855
445.555	62.815487
445.566	62.815487
445.576	62.815487
445.585	62.815487
445.596	62.574066
445.606	62.574066
445.615	62.815487
445.626	62.815487
445.636	62.815487
445.645	62.815487
445.655	62.574066
445.666	62.574066
445.675	62.815487
445.685	62.815487
445.696	62.815487
445.705	62.815487
445.715	62.574066
445.726	62.574066
445.735	62.815487
445.745	62.815487
445.756	62.815487
445.765	62.574066
445.775	62.574066
445.786	62.574066
445.796	62.815487
445.805	62.815487
445.816	62.815487
445.826	62.574066
445.835	62.574066
445.846	62.574066
445.856	62.815487
445.865	62.815487
445.876	62.815487
445.886	62.574066
445.895	62.574066
445.905	62.574066
445.916	62.815487
445.925	62.090855
445.935	62.815487
445.946	62.574066
445.955	62.574066
445.965	62.574066
445.976	62.815487
445.985	62.815487
445.995	62.815487
446.006	62.574066
446.015	62.574066
446.025	62.574066
446.036	62.815487
446.046	62.815487
446.055	62.815487
446.066	62.574066
446.076	62.574066
446.085	62.574066
446.096	62.332523
446.106	62.815487
446.115	62.815487
446.126	62.815487
446.136	62.815487
446.145	62.574066
446.155	62.332523
446.166	62.815487
446.175	62.815487
446.185	62.815487
446.196	62.574066
446.205	62.574066
446.215	62.815487
446.226	62.815487
446.235	62.815487
446.245	62.815487
446.256	62.574066
446.265	62.574066
446.275	62.815487
446.286	62.815487
446.296	62.815487
446.305	62.574066
446.316	62.574066
446.326	62.574066
446.335	62.815487
446.346	62.815487
446.356	62.815487
446.365	62.574066
446.376	62.574066
446.386	62.574066
446.395	62.815487
446.405	62.815487
446.416	62.815487
446.425	62.574066
446.435	62.574066
446.446	62.574066
446.455	62.815487
446.465	62.332523
446.476	62.815487
446.485	61.607147
446.495	62.574066
446.506	61.607147
446.515	62.815487
446.525	61.849064
446.536	62.815487
446.546	61.607147
446.555	62.090855
446.566	61.607147
446.576	62.815487
446.585	61.607147
446.596	62.574066
446.606	61.849064
446.615	62.090855
446.626	62.574066
446.636	61.849064
446.645	61.849064
446.655	62.574066
446.666	62.815487
446.675	61.607147
446.685	62.574066
446.696	62.815487
446.705	62.815487
446.715	62.574066
446.726	62.332523
446.735	62.574066
446.745	62.574066
446.756	62.815487
446.765	62.574066
446.775	62.090855
446.786	62.574066
446.796	62.574066
446.805	61.607147
446.816	62.815487
446.826	62.332523
446.835	62.574066
446.846	62.574066
446.856	62.574066
446.865	62.090855
446.876	62.815487
446.886	61.849064
446.895	62.574066
446.905	62.574066
446.916	62.574066
446.925	62.574066
446.935	61.849064
446.946	62.815487
446.955	62.090855
446.965	62.574066
446.976	62.090855
446.985	62.574066
446.995	62.332523
447.006	62.815487
447.015	61.607147
447.025	62.574066
447.036	62.090855
447.046	62.574066
447.055	62.815487
447.066	62.815487
447.076	62.574066
447.085	62.815487
447.096	61.607147
447.106	62.574066
447.115	61.849064
447.126	62.815487
447.136	62.574066
447.145	62.815487
447.155	61.607147
447.166	62.574066
447.175	62.332523
447.185	61.849064
447.196	62.574066
